"id","last_name","first_name","email","parliament_phone","parliament_fax","office_address","office_suburb","office_state","office_postcode","office_fax","office_phone","party_id","electorate_id","created_at","updated_at","mailing_address","mailing_suburb","mailing_state","mailing_postcode"
"11","Bishop","Julie","Julie.Bishop.MP@aph.gov.au","(02) 6277 7500","(02) 6273 4112","414 Rokeby Road","Subiaco","WA","6008","(08) 9388 0299","(08) 9388 0288","2","37","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 2010","Subiaco","WA","6904"
"12","Bowen","Chris","Chris.Bowen.MP@aph.gov.au","(02) 6277 4822","(02) 6277 8587","Shops 3 & 4, 398 Hamilton Road","Fairfield","NSW","2165","(02) 9609 3873","(02) 9604 0710","1","103","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box W210","Fairfield","NSW","2165"
"13","Sharkie","Rebekha","vacant@getup.org.au","(02) 6277 2113","(02) 6277 8451","1/72 Gawler Street","Mt Barker","SA","5251",,"(08) 8398 5566","52","101","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 1601","Mt Barker","SA","5251"
"14","Broad","Andrew","andrew.broad.mp@aph.gov.au","(02) 6277 4761","(02) 6277 2356","Suite 1, Level 1, 146 Eighth Street","Mildura","VIC","3500","(03) 5023 3274","1300 131 620","4","98","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 1133","Mildura","VIC","3502"
"15","Broadbent","Russell","Russell.Broadbent.MP@aph.gov.au","(02) 6277 4233","(02) 6277 8485","46C Albert Street","Warragul","VIC","3820","(03) 5623 2509","(03) 5623 2064","2","104","2018-02-16 10:24:43","2018-02-16 10:24:43","46C Albert Street","Warragul","VIC","3820"
"16","Brodtmann","Gai","gai.brodtmann.mp@aph.gov.au","(02) 6277 4811","(02) 6277 8585","205 Anketell St","Tuggeranong","ACT","2900","(02) 6293 1068","(02) 6293 1344","1","24","2018-02-16 10:24:43","2018-02-16 10:24:43","205 Anketell St","Tuggeranong","ACT","2900"
"17","Wallace","Andrew","Andrew.Wallace.MP@aph.gov.au","(02) 6277 4282","(02) 6277 8406","The Edge' Upper Level East, Unit 11, 10 Lake Kawana Boulevard","Bokarina","QLD","4575",,"(07) 5493 5556","2","49","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1224","Buddina","QLD","4575"
"18","Buchholz","Scott","scott.buchholz.mp@aph.gov.au","(02) 6277 4144","(02) 6277 4177","21 William Street","Beaudesert","QLD","4285","(07) 5541 4150","(07) 5541 0150","2","150","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 628","Beaudesert","QLD","4285"
"19","Banks","Julia","Julia.Banks.MP@aph.gov.au","(02) 6277 4029","(02) 6277 8477","Level 1, 140 Burwood Highway","Burwood","VIC","3125","(03) 9232 8819","(03) 9808 3188","2","30","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 102","Burwood","VIC","3125"
"20","Burke","Tony","Tony.Burke.MP@aph.gov.au","(02) 6277 4410","(02) 6277 2215","Shop 29, Broadway Plaza","Punchbowl","NSW","2196","(02) 9759 2859","(02) 9750 9088","1","145","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 156","Punchbowl","NSW","2196"
"21","Butler","Mark","mark.butler.mp@aph.gov.au","(02) 6277 4089","(02) 6277 2222","21 Commercial Road","Port Adelaide","SA","5015","(08) 8241 0198","(08) 8241 0190","1","126","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 2038","Port Adelaide","SA","5015"
"22","Byrne","Anthony","Anthony.Byrne.MP@aph.gov.au","(02) 6277 4309","(02) 6277 8473","Shop HM 2B, 8-10 Overland Drive","Fountain Gate","Vic","3805","(03) 9796 7088","(03) 9796 7533","1","73","2018-02-16 10:24:43","2018-02-16 10:24:43","Shop HM 2B, 8-10 Overland Drive","Fountain Gate","Vic","3805"
"23","Chalmers","Jim","jim.chalmers.mp@aph.gov.au","(02) 6277 4880","(02) 6277 4908","Shop 65 Logan Central Plaza, Wembley Road","Woodridge","Qld","4114","(07) 3208 8744","(07) 3299 5910","1","127","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 349","Woodridge","Qld","4114"
"24","Champion","Nick","Nick.Champion.MP@aph.gov.au","(02) 6277 4451","(02) 6277 8511","Shop 89, 600 Main North Road","Smithfield","SA","5114","(08) 8284 2433","(08) 8284 2422","1","142","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 288","Smithfield","SA","5114"
"25","Chester","Darren","darren.chester.mp@aph.gov.au","(02) 6277 7820",,"Level 1, 89 Raymond Street","Sale","VIC","3850","(03) 5144 3945","(03) 5144 6744","4","60","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 486","Sale","VIC","3853"
"26","Chesters","Lisa","lisa.chesters.mp@aph.gov.au","(02) 6277 4657","(02) 6277 2357","Cnr. Williamson & Myers Streets","Bendigo","VIC","3550","(03) 5443 9736","(03) 5443 9055","1","9","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 338","Bendigo","VIC","3550"
"27","Christensen","George","george.christensen.mp@aph.gov.au","(02) 6277 4538","(02) 6277 8508","2/21 Milton Street","Mackay","QLD","4740","(07) 4944 0575","(07) 4944 0662","4","38","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1697","Mackay","QLD","4740"
"28","Ciobo","Steven","steven.ciobo.mp@aph.gov.au","(02) 6277 7420","(02) 6273 4128","Ground Floor West, 67 Thomas Drive","Chevron Island","Qld","4217","(07) 5504 6944","(07) 5504 6000","2","110","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 4922","Gold Coast Mail Centre","Qld","9726"
"29","Clare","Jason","jason.clare.mp@aph.gov.au","(02) 6277 4904","(02) 6277 4750","Suite 7 Level 1, 400 Chapel Road","Bankstown","NSW","2200","(02) 9790 0770","(02) 9790 2466","1","13","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 153","Bankstown","NSW","1885"
"30","Claydon","Sharon","sharon.claydon.mp@aph.gov.au","(02) 6277 4285","(02) 6277 2378","427 Hunter Street","Newcastle","NSW","2300","(02) 4926 1895","(02) 4926 1555","1","115","2018-02-16 10:24:43","2018-02-16 10:24:43","427 Hunter Street","Newcastle","NSW","2300"
"31","Gee","Andrew","Andrew.Gee.MP@aph.gov.au","(02) 6277 2150","(02) 6277 8483","Suite 1/179A Anson Street","Orange","NSW","2800","(02) 6362 3480","(02) 6361 7138","4","22","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 673","Orange","NSW","2800"
"32","Coleman","David","david.coleman.mp@aph.gov.au","(02) 6277 4188","(02) 6277 2353","22 Revesby Place","Revesby","NSW","2212","(02) 9773 4144","(02) 9771 3400","2","4","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 564","Revesby","NSW","2212"
"33","Collins","Julie","julie.collins.mp@aph.gov.au","(02) 6277 4107","(02) 6277 2321","18 Ross Avenue","Rosny Park","TAS","7018","(03) 6244 1211","(03) 6244 1222","1","55","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 38","Rosny Park","TAS","7018"
"34","Keogh","Matt","Matt.Keogh.MP@aph.gov.au","(02) 6277 2200","(02) 6277 8513","Unit 2, 2808 Albany Highway","Kelmscott","WA","6111","(08) 9390 0201","(08) 9390 0180","1","151","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 465","Kelmscott","WA","6991"
"35","Coulton","Mark","Mark.Coulton.MP@aph.gov.au","(02) 6277 4607","(02) 6277 8504","Shop 3, 153 Brisbane Street","Dubbo","NSW","2830","(02) 6882 9935","(02) 6882 0999","4","120","2018-02-16 10:24:43","2018-02-16 10:24:43","Shop 3, 153 Brisbane Street","Dubbo","NSW","2830"
"36","Danby","Michael","Michael.Danby.MP@aph.gov.au","(02) 6277 4520","(02) 6277 8480","117 Fitzroy Street","St Kilda West","VIC","3182","(03) 9534 1575","(03) 9534 8126","1","107","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 2086","St Kilda West","VIC","3182"
"37","Dreyfus","Mark","mark.dreyfus.mp@aph.gov.au","(02) 6277 4205","(02) 6277 8523","566 Main Street","Mordialloc","VIC","3195","(03) 9587 9534","(03) 9580 4651","1","79","2018-02-16 10:24:43","2018-02-16 10:24:43","566 Main Street","Mordialloc","VIC","3195"
"38","Dutton","Peter","Peter.Dutton.MP@aph.gov.au","(02) 6277 7860","(02) 6273 4144","3/199 Gympie Road","Strathpine","QLD","4500","(07) 3205 5111","(07) 3205 9977","2","41","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 2012","Strathpine","QLD","4500"
"39","Elliot","Justine","Justine.Elliot.MP@aph.gov.au","(02) 6277 4554","(02) 6277 8520","Suite 6, Hallmark Centre, 107-111 Minjungbal Drive","Tweed Heads South","NSW","2486","(07) 5523 4379","(07) 5523 4371","1","129","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 6996","Tweed Heads South","NSW","2486"
"40","Ellis","Kate","Kate.Ellis.MP@aph.gov.au","(02) 6277 4479","(02) 6277 2216","161 Main North Road","Nailsworth","SA","5083","(08) 8269 2488","(08) 8269 2433","1","1","2018-02-16 10:24:43","2018-02-16 10:24:43","161 Main North Road","Nailsworth","SA","5083"
"41","Entsch","Warren","warren.entsch.mp@aph.gov.au","(02) 6277 4803","(02) 6277 2238","Units 3 & 4, 200 Mulgrave Road, Westcourt","Cairns","QLD","4870","(07) 4031 1592","(07) 4051 2220","2","87","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 14","Bungalow","QLD","4870"
"42","Kearney","Ged","ged.kearney@aph.gov.au","(02) 6277 4152","(02) 6277 8559","159 High St","Preston","VIC","3072",,"(03) 9416 8690","1","8","2018-02-16 10:24:43","2018-02-16 10:24:43","159 High St","Preston","VIC","3072"
"43","Stanley","Anne","Anne.Stanley.MP@aph.gov.au","(02) 6277 2103","(02) 6277 8446","Suite 1, Level 1, 2 Oxford Road","Ingleburn","NSW","2565","(02) 9829 7499","(02) 9829 7477","1","147","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 191","Ingleburn","NSW","1890"
"44","Fitzgibbon","Joel","Joel.Fitzgibbon.MP@aph.gov.au","(02) 6277 4550","(02) 6277 8556","3 Edward Street","Cessnock","NSW","2325","(02) 4991 2322","(02) 4991 1022","1","77","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 526","Cessnock","NSW","2325"
"45","Fletcher","Paul","Paul.Fletcher.MP@aph.gov.au","(02) 6277 7790","(02) 6245 4396","Suite 1, Level 2, 280 Pacific Highway","Lindfield","NSW","2070","(02) 9465 3999","(02) 9465 3950","2","18","2018-02-16 10:24:43","2018-02-16 10:24:43","Suite 1, Level 2, 280 Pacific Highway","Lindfield","NSW","2070"
"46","Frydenberg","Josh","josh.frydenberg.mp@aph.gov.au","(02) 6277 7920",,"695 Burke Road","Camberwell","VIC","3124","(03) 9882 3773","(03) 9882 3677","2","84","2018-02-16 10:24:43","2018-02-16 10:24:43","695 Burke Road","Camberwell","VIC","3124"
"47","Evans","Trevor","Trevor.Evans.MP@aph.gov.au","(02) 6277 2008","(02) 6277 8411","349 Sandgate Road","Albion","QLD","4010",,"(07) 3862 4044","2","20","2018-02-16 10:24:43","2018-02-16 10:24:43","P.O. Box 143","Albion DC","QLD","4010"
"48","Giles","Andrew","andrew.giles.mp@aph.gov.au","(02) 6277 4044","(02) 6277 8417","Shop 23-25, 314-360 Childs Rd","Mill Park","VIC","3082","(03) 9404 1725","(03) 9404 1911","1","133","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 167","Mill Park LPO","VIC","3082"
"49","Gillespie","David","david.gillespie.mp@aph.gov.au","(02) 6277 4960","(02) 6277 2856","Shops 2 & 3, 43 High Street","Wauchope","NSW","2446","(02) 6586 0934","(02) 6586 4462","4","92","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 244","Wauchope","NSW","2446"
"50","Goodenough","Ian","ian.goodenough.mp@aph.gov.au","(02) 6277 4651","(02) 6277 2082","3 Boas Avenue","Joondalup","WA","6027","(08) 9300 2245","(08) 9300 2244","2","111","2018-02-16 10:24:43","2018-02-16 10:24:43","3 Boas Avenue","Joondalup","WA","6027"
"51","King","Madeleine","Madeleine.King.MP@aph.gov.au","(02) 6277 4354","(02) 6277 8438","Unit 1, 15 Kent Street","Rockingham","WA","6168","(02) 6277 8438","(08) 9527 9377","1","19","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 5062","Rockingham Beach","WA","6969"
"52","Hill","Julian","Julian.Hill.MP@aph.gov.au","(02) 6277 2174","(02) 6277 8492","Shop 98A, Waverley Gardens Shopping Centre","Mulgrave","VIC","3170",,"(03) 9547 1444","1","21","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1034","Mulgrave","VIC","3170"
"53","Gosling","Luke","Luke.Gosling.Mp@aph.gov.au","(02) 6277 4933","(02) 6277 8427","3/266 Trower Road","Casuarina","NT","810",,"(08) 8928 0180","1","135","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 43300","Casuarina","NT","810"
"54","Conroy","Pat","Pat.Conroy.MP@aph.gov.au","(02) 6277 4863","(02) 6277 4963","Suite 1A, 571 Pacific Highway","Belmont","NSW","2280","(02) 4945 3764","(02) 4947 9546","1","134","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 499","Belmont","NSW","2280"
"55","Hartsuyker","Luke","Luke.Hartsuyker.MP@aph.gov.au","(02) 6277 4482","(02) 6277 8431","39 Little Street","Coffs Harbour","NSW","2450","(02) 6651 4346","(02) 6652 6233","4","35","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 2056","Coffs Harbour","NSW","2450"
"56","Hawke","Alex","alex.hawke.mp@aph.gov.au","(02) 6277 4430","(02) 6277 8522","Suite 8, 23 Terminus Street","Castle Hill","NSW","2154","(02) 9899 7990","(02) 9899 7211","2","109","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1173","Castle Hill","NSW","2154"
"57","Hayes","Chris","Chris.Hayes.MP@aph.gov.au","(02) 6277 4083","(02) 6277 2309","Level 2, 24-32 Hughes Street","Cabramatta","NSW","2166","(02) 9727 2240","(02) 9726 3988","1","54","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 205","Cabramatta","NSW","2166"
"58","Henderson","Sarah","sarah.henderson.mp@aph.gov.au","(02) 6277 4172","(02) 6277 2043","3A/195 Colac Rd","Waurn Ponds","VIC","3216","(03) 5243 1666","(03) 5243 1444","2","32","2018-02-16 10:24:43","2018-02-16 10:24:43","3A/195 Colac Rd","Waurn Ponds","VIC","3216"
"59","Kelly","Mike","Mike.Kelly.MP@aph.gov.au","(02) 6277 4496","(02) 6277 8434","Unit 1, 21-25 Monaro Street","Queanbeyan","NSW","2620","(02) 6284 2460","(02) 6284 2442","1","45","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 214","Queanbeyan","NSW","2620"
"60","Zimmerman","Trent","trent.zimmerman.mp@aph.gov.au","(02) 6277 4744","(02) 6277 8405","Level 10, 2 Elizabeth Plaza","North Sydney","NSW","2060","(02) 9929 9833","(02) 9929 9822","2","116","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1107","North Sydney","NSW","2060"
"61","Hogan","Kevin","kevin.hogan.mp@aph.gov.au","(02) 6277 4746","(02) 6277 2278","61-63 Molesworth Street","Lismore","NSW","2480","(02) 6621 4255","(02) 6621 4044","4","119","2018-02-16 10:24:43","2018-02-16 10:24:43","61-63 Molesworth Street","Lismore","NSW","2480"
"62","Howarth","Luke","luke.howarth.mp@aph.gov.au","(02) 6277 4018","(02) 6277 2361","40 Hornibrook Esplanade","Clontarf","QLD","4019","(07) 3284 8002","(07) 3284 8008","2","125","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 321","Clontarf","QLD","4019"
"63","Hunt","Greg","Greg.Hunt.MP@aph.gov.au","(02) 6277 7220",,"Shop 4, 184 Salmon Street","Hastings","Vic","3915","(03) 5979 3034","(03) 5979 3188","2","50","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 274","Hastings","Vic","3915"
"64","Husic","Ed","ed.husic.mp@aph.gov.au","(02) 6277 4488","(02) 6277 8590","6/15 Cleeve Close","Mt Druitt","NSW","2770","(02) 9832 2641","(02) 9625 4344","1","29","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 259","Mt Druitt","NSW","2770"
"65","Mitchell","Brian","Brian.Mitchell.MP@aph.gov.au","(02) 6277 4270","(02) 6277 8422","Suite 105, Green Point Plaza","Bridgewater","TAS","7030",,"(03) 6263 3721","1","93","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 61","Bridgewater","TAS","7030"
"66","Irons","Steve","steve.irons.mp@aph.gov.au","(02) 6277 4337","(02) 6277 8494","G3, 59 Albany Highway","Victoria Park","WA","6101","(08) 9355 0199","(08) 9355 0099","2","138","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1060","East Victoria Park","WA","6981"
"67","Morton","Ben","Ben.Morton.MP@aph.gov.au","(02) 6277 2035",,"6 Aveley Street","Willetton","WA","6155",,"(08) 9354 9633","2","140","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 329","Willetton","WA","6155"
"68","O'Toole","Cathy","Cathy.O'Toole.MP@aph.gov.au","(02) 6277 2296","(02) 6277 8536","Nathan Business Centre, 340 Ross River Rd","Cranbrook","QLD","4814",,"(07) 4725 2066","1","69","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 226","Aitkinvale","QLD","4814"
"69","Jones","Stephen","stephen.jones.mp@aph.gov.au","(02) 6277 4661","(02) 6277 8548","Shop 244, Stockland Shellharbour","Shellharbour","NSW","2529","(02) 4297 2161","(02) 4297 2285","1","141","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 264","Shellharbour","NSW","2529"
"70","Joyce","Barnaby","barnaby.joyce.mp@aph.gov.au","(02) 6277 4011","(02) 6277 8557","Shop 5 259 Peel Street","Tamworth","NSW","2340","(02) 6761 3380","(02) 6761 3080","4","114","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 963","Tamworth","NSW","2340"
"71","Katter","Bob","Bob.Katter.MP@aph.gov.au","(02) 6277 4978","(02) 6277 8558","Corner Edith and Owen Streets","Innisfail","QLD","4860","(07) 4061 6566","(07) 4061 6066","31","81","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1638","Innisfail","QLD","4860"
"72","Keenan","Michael","michael.keenan.mp@aph.gov.au","(02) 6277 7200","(02) 6273 4406","Units 3 and 4, 19 Wotan Street","Innaloo","WA","6018","(08) 9445 2866","(08) 9445 3222","2","136","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 989","Innaloo","WA","6918"
"73","Kelly","Craig","craig.kelly.mp@aph.gov.au","(02) 6277 4366","(02) 6277 8567","Shop 1, 9-15 East Parade","Sutherland","NSW","2232","(02) 9545 0927","(02) 9521 6262","2","75","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1014","Sutherland","NSW","1499"
"74","King","Catherine","Catherine.King.MP@aph.gov.au","(02) 6277 4407","(02) 6277 4998","5 Lydiard Street North","Ballarat","VIC","3350","(03) 5333 7710","(03) 5338 8123","1","3","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 719","Ballarat","VIC","3353"
"75","Laming","Andrew","andrew.laming.mp@aph.gov.au","(02) 6277 4258","(02) 6277 8503","10/32 Middle Street","Cleveland","Qld","4163","(07) 3821 3799","(07) 3821 0155","2","16","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 8024","Cleveland","Qld","4163"
"76","Landry","Michelle","michelle.landry.mp@aph.gov.au","(02) 6277 4068","(02) 6277 2376","The Swan, 159 Denison Street (Cnr Denham St)","Rockhampton","QLD","4700","(07) 4922 6607","(07) 4922 6604","4","26","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1919","Rockhampton","QLD","4700"
"77","Laundy","Craig","craig.laundy.mp@aph.gov.au","(02) 6277 7610",,"72 Burwood Road","Burwood","NSW","2134","(02) 9745 2825","(02) 9715 7444","2","128","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 2028","Burwood North","NSW","2134"
"78","Leigh","Andrew","andrew.leigh.mp@aph.gov.au","(02) 6277 4140","(02) 6277 8469","Unit 8/1 Torrens St","Braddon","ACT","2612","(02) 6247 3457","(02) 6247 4396","1","986","2018-02-16 10:24:43","2018-02-16 10:24:43","Unit 8/1 Torrens St","Braddon","ACT","2612"
"79","Ley","Sussan","Sussan.Ley.MP@aph.gov.au","(02) 6277 4412","(02) 6277 8466","517 Kiewa Street","Albury","NSW","2640","(02) 6021 6620","(02) 6021 3264","2","48","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 672","Albury","NSW","2640"
"80","McVeigh","John","John.McVeigh.MP@aph.gov.au","(02) 6277 7990",,"216 Margaret Street, (Cnr Duggan Street)","Toowoomba","QLD","4350","(07) 4338 2147","(07) 4632 4144","2","67","2018-02-16 10:24:43","2018-02-16 10:24:43","P.O. Box 777","Toowoomba","QLD","4350"
"81","Macklin","Jenny","jmacklin.mp@aph.gov.au","(02) 6277 4305","(02) 6277 8595","149 Burgundy Street","Heidelberg","Vic","3084","(03) 9457 5721","(03) 9459 1411","1","80","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 316","Heidelberg","Vic","3084"
"82","Hammond","Tim","vacant@getup.org.au","(02) 6277 4954","(02) 6277 8491","953 A Beaufort Street","Inglewood","WA","6052","(08) 9272 3477","(08) 9272 3411","52","124","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 901","Inglewood","WA","6932"
"83","Marino","Nola","Nola.Marino.MP@aph.gov.au","(02) 6277 4088","(02) 6277 8468","Units 7 & 8 Grand Cinemas Complex, Corner of Victoria and Clifton Streets","Bunbury","WA","6230","(08) 9721 4911","(08) 9721 3788","2","53","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 2028","Bunbury","WA","6231"
"84","Templeman","Susan","Susan.Templeman.MP@aph.gov.au","(02) 6277 4784","(02) 6277 8459","Ground Floor, 299 George Street","Windsor","NSW","2756","(02) 4573 8396","(02) 4573 8222","1","96","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 855","Windsor","NSW","2756"
"85","Marles","Richard","richard.marles.mp@aph.gov.au","(02) 6277 4330","(02) 6277 8599","17A Yarra Street","Geelong","VIC","3220","(03) 5222 4505","(03) 5221 3033","1","33","2018-02-16 10:24:43","2018-02-16 10:24:43","17A Yarra Street","Geelong","VIC","3220"
"86","Freelander","Mike","Mike.Freelander.MP@aph.gov.au","(02) 6277 2311","(02) 6277 8537","37 Queen Street","Campbelltown","NSW","2560","(02) 4620 4414","(02) 4620 0293","1","94","2018-02-16 10:24:43","2018-02-16 10:24:43","P.O. BOX 88","Campbelltown","NSW","2560"
"87","McCormack","Michael","michael.mccormack.mp@aph.gov.au","(02) 6277 7520",,"Suite 2, 11-15 Fitzmaurice Street","Wagga Wagga","NSW","2650","(02) 6921 5900","(02) 6921 4600","4","130","2018-02-16 10:24:43","2018-02-16 10:24:43","Suite 2, 11-15 Fitzmaurice Street","Wagga Wagga","NSW","2650"
"88","McGowan","Cathy","cathy.mcgowan.mp@aph.gov.au","(02) 6277 4778","(02) 6277 2365","117 Murphy Street","Wangaratta","VIC","3677","(03) 5721 7066","(03) 5721 7077","7","78","2018-02-16 10:24:43","2018-02-16 10:24:43","117 Murphy Street","Wangaratta","VIC","3677"
"89","McBride","Emma","Emma.McBride.MP@aph.gov.au","(02) 6277 4515","(02) 6277 8441","Suite 204, Level 2 Mariners Centre of Excellence, 1 Bryant Drive","Tuggerah","NSW","2259","(02) 4353 0248","(02) 4353 0127","1","42","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 3763","Tuggerah","NSW","2259"
"90","Mitchell","Rob","rob.mitchell.mp@aph.gov.au","(02) 6277 4117","(02) 6277 8443","Shop EOO - 48 Craigieburn Central Shopping Centre, 340 Craigieburn Road","Craigieburn","Vic","3064","(03) 9333 8377","(03) 9333 0440","1","102","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 314","Craigieburn","Vic","3064"
"91","Morrison","Scott","scott.morrison.mp@aph.gov.au","(02) 6277 7340","(02) 6273 3420","Suite 102, Level 1, 30 The Kingsway","Cronulla","NSW","2230","(02) 9523 8959","(02) 9523 0339","2","31","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 1306","Cronulla","NSW","2230"
