last_name,first_name,email,courtesy,salutation,honorific,gender,parliament_phone,parliament_fax,office_address,office_suburb,office_state,office_postcode,office_fax,office_phone,office_tollfree,titles,party_name,electorate_name,jurisdiction
Elmes,G W,Noosa@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3235 4562,(07) 5449 9719,PO Box 1849,NOOSAVILLE DC  QLD  4566,QLD,4566,(07) 5449 9719,(07) 5449 8988,1800 818 396,Minister for Aboriginal and Torres Strait Islander and Multicultural Affairs and Minister Assisting the Premier,LNP,Noosa,QLD
Emerson,S A,Indooroopilly@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3237 1111,(07) 3378 7072,"Suite 1, 49 Station Road",INDOOROOPILLY  QLD  4068,QLD,4068,(07) 3378 7072,(07) 3878 1928,,Minister for Transport and Main Roads,LNP,Indooroopilly,QLD
Dillaway,A S,Bulimba@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3399 9492,(07) 3399 6457,PO Box 107,MORNINGSIDE  QLD  4170,QLD,4170,(07) 3399 6457,(07) 3399 9492,,,LNP,Bulimba,QLD
Judge,C J,Yeerongpilly@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3848 4410,(07) 3892 2229,PO Box 412,MOOROOKA  QLD  4105,QLD,4105,(07) 3892 2229,(07) 3848 4410,,,LNP,Yeerongpilly,QLD
Flegg,B,Moggill@parliament.qld.gov.au,Hon Dr,Hon Dr,MP,M,(07) 3237 1832,(07) 3892 2229,PO Box 328,KENMORE  QLD  4069,QLD,4069,(07) 3892 2229,(07) 3378 8020,,Minister for Housing and Public Works,LNP,Moggill,QLD
Maddern,M A,Maryborough@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 4122 2277,(07) 4122 1980,PO Box 51,MARYBOROUGH QLD 4650,QLD,4650,(07) 4122 1980,(07) 4122 2277,,,IND,Maryborough,QLD
Rice,S,Mount.Coot-tha@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 3368 3208,(07) 3369 4283,PO Box 1626,MILTON  QLD  4064,QLD,4064,(07) 3369 4283,(07) 3368 3208,,Assistant Minister for Technical and Further Education,LNP,Mount Coot Tha,QLD
Gibson,D F,Gympie@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5482 3651,(07) 5482 5711,PO Box 1277,GYMPIE  QLD  4570,QLD,4570,(07) 5482 5711,(07) 5482 3651,,,LNP,Gympie,QLD
Cavallucci,R,Brisbane.Central@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3832 1322,(07) 3832 1323,"Unit 2, Hill House",541 Boundary Street (Corner Bradley Street) SPRING HILL,QLD,4000,(07) 3832 1323,(07) 3832 1322,,Assistant Minister for Multicultural Affairs,LNP,Brisbane Central,QLD
Lynham,A,Stafford@parliament.qld.gov.au,Dr,Dr,MP,M,(07) 3356 4367,(07)3352 4960,"Unit 207, 6 Babarra Street",STAFFORD  QLD   4053,QLD,4053,(07)3352 4960,(07) 3356 4367,,,ALP,Stafford,QLD
Hobbs,H W T,Warrego@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4622 8888,(07) 4622 8777,PO Box 945,ROMA  QLD  4455,QLD,4455,(07) 4622 8777,(07) 4622 8888,,,LNP,Warrego,QLD
Young,B C,Keppel@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4939 5732,(07) 4939 5736,PO Box 1661,YEPPOON QLD 4703,QLD,4703,(07) 4939 5736,(07) 4939 5732,,,LNP,Keppel,QLD
Hopper,R G,Condamine@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4662 2527,(07) 4662 5203,14A Cunningham Street,DALBY  QLD  4405,QLD,4405,(07) 4662 5203,(07) 4662 2527,1800 817 344,,LNP,Condamine,QLD
McVeigh,J J,Toowoomba.South@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3239 3000,(07) 4639 1045,PO Box 3005,TOOWOOMBA QLD 4350,QLD,4350,(07) 4639 1045,(07) 4639 1199,,"Minister for Agriculture, Fisheries and Forestry",LNP,Toowoomba South,QLD
Costigan,J N,Whitsunday@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4945 3343,(07) 4945 3278,PO Box 251,PROSERPINE  QLD  4800,QLD,4800,(07) 4945 3278,(07) 4945 3343,,,LNP,Whitsunday,QLD
Johnson,V G,Gregory@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4658 1227,(07) 4658 1949,PO Box 180,LONGREACH  QLD  4730,QLD,4730,(07) 4658 1949,(07) 4658 1227,,Chief Government Whip,LNP,Gregory,QLD
Hathaway,J D,Townsville@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4772 4711,(07) 4721 2097,PO Box 1101,TOWNSVILLE  QLD  4810,QLD,4810,(07) 4721 2097,(07) 4772 4711,,,LNP,Townsville,QLD
Newman,C K T,Ashgrove@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3224 4500,(07) 3366 6202,PO Box 3010,ASHGROVE EAST QLD 4060,QLD,4060,(07) 3366 6202,(07) 3366 6000,,Premier,LNP,Ashgrove,QLD
Boothman,M A,Albert@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3807 0809,(07) 3807 6296,PO Box 1255,BEENLEIGH  QLD  4207,QLD,4207,(07) 3807 6296,(07) 3807 0809,,,LNP,Albert,QLD
Katter,R I,Mount.Isa@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4743 5149,(07) 4743 3386,PO Box 1968,MOUNT ISA  QLD  4825,QLD,4825,(07) 4743 3386,(07) 4743 5149,,Leader of a Minor Party,KAP,Mount Isa,QLD
Minnikin,S J,Chatsworth@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3398 4777,(07) 3398 4680,PO Box 1565,CARINDALE QLD 4152,QLD,4152,(07) 3398 4680,(07) 3398 4777,,Assistant Minister for Public Transport,LNP,Chatsworth,QLD
Knuth,S,Dalrymple.Charters@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4787 2139,(07) 4787 3919,Stock Exchange Arcade,2/76 Mosman Street,QLD,4820,(07) 4787 3919,(07) 4787 2139,,,KAP,Dalrymple,QLD
Langbroek,J-P H,Surfers.Paradise@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3237 1000,(07) 5538 5560,PO Box 80,ISLE OF CAPRI  QLD  4217,QLD,4217,(07) 5538 5560,(07) 5538 9833,,"Minister for Education, Training and Employment",LNP,Surfers Paradise,QLD
Molhoek,R,Southport@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5532 5068,(07) 5532 0394,PO Box 903,SOUTHPORT QLD 4215,QLD,4215,(07) 5532 0394,(07) 5532 5068,,Assistant Minister for Child Safety,LNP,Southport,QLD
Symes,N A,Lytton@parliament.qld.gov.au_,Mr,Mr,MP,M,(07) 3396 0066,(07) 3893 2022,PO Box 227,WYNNUM  QLD  4178,QLD,4178,(07) 3893 2022,(07) 3396 0066,,,LNP,Lytton,QLD
Holswich,C T,Pine.Rivers@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3205 6779,(07) 3881 1662,PO Box 109,STRATHPINE CENTRE  QLD  4500,QLD,4500,(07) 3881 1662,(07) 3205 6779,,,LNP,Pine Rivers,QLD
Malone,G E,Mirani@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4956 1555,(07) 4956 1980,PO Box 56,SARINA  QLD  4737,QLD,4737,(07) 4956 1980,(07) 4956 1555,,,LNP,Mirani,QLD
McArdle,M F,Caloundra@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3896 3691,(07) 5491 1801,PO Box 3998,CALOUNDRA  QLD  4551,QLD,4551,(07) 5491 1801,(07) 5491 2780,,Minister for Energy and Water Supply,LNP,Caloundra,QLD
Krause,J M,Beaudesert@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5546 9611,(07) 5546 9961,"Shop 16B, Jimboomba Shopping Centre",JIMBOOMBA  QLD  4280,QLD,4280,(07) 5546 9961,(07) 5546 9611,,,LNP,Beaudesert,QLD
Menkens,R N,Burdekin@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 4783 2017,(07) 4783 4163,"Shop 30, Centrepoint Arcade",Queen Street,QLD,4807,(07) 4783 4163,(07) 4783 2017,,"Senior Whip, Party Room Secretary",LNP,Burdekin,QLD
Bennett,S A,Burnett@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4159 1988,(07) 4159 2696,PO Box 8371,BARGARA  QLD  4670,QLD,4670,(07) 4159 2696,(07) 4159 1988,,,LNP,Burnett,QLD
Pucci,M J,Logan@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3806 8513,(07) 3806 8467,PO Box 513,BROWNS PLAINS BC QLD 4118,QLD,4118,(07) 3806 8467,(07) 3806 8513,,,LNP,Logan,QLD
Miller,J R,Bundamba@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 3288 3737,(07) 3818 1613,PO Box 122,GOODNA  QLD  4300,QLD,4300,(07) 3818 1613,(07) 3288 3737,,"Opposition Whip, Shadow Minister for Health, Natural Resources and Mines, Housing",ALP,Bundamba,QLD
Latter,M,Waterford@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3200 3477,(07) 3200 3499,PO Box 112,WATERFORD  QLD  4133,QLD,4133,(07) 3200 3499,(07) 3200 3477,,,ALP,Waterford,QLD
Mulherin,T S,Mackay@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4957 8422,(07) 4951 4794,PO Box 1238,MACKAY   QLD   4740,QLD,4740,(07) 4951 4794,(07) 4957 8422,,"Deputy Leader of the Opposition, Shadow Minister for State Development, Infrastructure, Planning and Racing, Agriculture, Fisheries and Forestry, Local Government, Science, IT and Innovation",ALP,Mackay,QLD
Crisafulli,D F,Mundingburra@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3234 1870,(07) 4725 4194,PO Box 15031,AITKENVALE DC  QLD  4814,QLD,4814,(07) 4725 4194,(07) 4725 4166,,Minister for Local Government,LNP,Mundingburra,QLD
Nicholls,T J,Clayfield@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3224 6900,(07) 3868 2078,PO Box 281,CLAYFIELD  QLD  4011,QLD,4011,(07) 3868 2078,(07) 3262 8819,,Treasurer and Minister for Trade,LNP,Clayfield,QLD
Berry,I M,Ipswich@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3202 3452,(07) 3202 4778,PO Box 52,BOOVAL  QLD  4304,QLD,4304,(07) 3202 4778,(07) 3202 3452,,Temporary Chair of Committees,LNP,Ipswich,QLD
Kempton,D E,Cook@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4092 7608,(07) 4031 2437,PO Box 2251,MAREEBA QLD  4880,QLD,4880,(07) 4031 2437,(07) 4092 7608,,Assistant Minister for Aboriginal And Torres Strait Islander Affairs,LNP,Cook,QLD
Ruthenberg,T J,Kallangur@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3491 8800,(07) 3482 3407,PO Box 700,KALLANGUR  QLD  4503,QLD,4503,(07) 3482 3407,(07) 3491 8800,,,LNP,Kallangur,QLD
Palaszczuk,A,Inala@parliament.qld.gov.au,Ms,Ms,MP,M,(07) 3372 3207,(07) 3372 6881,PO Box 75,INALA  QLD  4077,QLD,4077,(07) 3372 6881,(07) 3372 3207,,"Leader of the Opposition, Shadow Minister for Justice and Attorney-General, Industrial Relations, Education, Training and Employment, Tourism, Major Events and Commonwealth Games",ALP,Inala,QLD
Pitt,C W,Mulgrave@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4056 3175,(07) 4056 3340,PO Box 314,GORDONVALE  QLD  4865,QLD,4865,(07) 4056 3340,(07) 4056 3175,,"Manager of Opposition Business, Shadow Minister for Treasury and Trade, Energy and Water Supply, Main Roads, Aboriginal and Torres Strait Islander Partnerships, Sport and Recreation",ALP,Mulgrave,QLD
Powell,A C,Glass.House@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3239 0844,(07) 5435 2165,PO Box 727,MALENY  QLD  4552,QLD,4552,(07) 5435 2165,(07) 5435 2013,,Minister for Environment and Heritage Protection,LNP,Glass House,QLD
Frecklington,D K,Nanango@parliament.qld.gov.au,Mrs,Mrs,MP,M,(07) 4162 1381,(07) 4162 4774,PO Box 1158,KINGAROY  QLD  4610,QLD,4610,(07) 4162 4774,(07) 4162 1381,,"Assistant Minister for Finance, Administration and Regulatory Reform",LNP,Nanango,QLD
Walker,I B,Mansfield@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3849 3488,(07) 3849 3511,PO Box 2202,MANSFIELD BC  QLD  4122,QLD,4122,(07) 3849 3511,(07) 3849 3488,,Assistant Minister for Planning Reform,LNP,Mansfield,QLD
Rickuss,I P,Lockyer@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5462 2772,(07) 5462 2388,"Shop 1, 47 North Street",GATTON  QLD  4343,QLD,4343,(07) 5462 2388,(07) 5462 2772,1800 817 791,,LNP,Lockyer,QLD
Woodforth,J R,Nudgee@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3260 5326,(07) 3260 5346,PO Box 419,NORTHGATE  QLD  4013,QLD,4013,(07) 3260 5346,(07) 3260 5326,,,LNP,Nudgee,QLD
Ostapovitch,F K,Stretton@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 3344 2659,(07) 3344 1258,"Unit 5, 62 Pinelands Road",SUNNYBANK HILLS  QLD  4109,QLD,4109,(07) 3344 1258,(07) 3344 2659,,,LNP,Stretton,QLD
Robinson,M A,Cleveland@parliament.qld.gov.au,Dr,Dr,MP,M,(07) 3286 2726,(07) 3286 5418,19 Waterloo Street,CLEVELAND  QLD  4163,QLD,4163,(07) 3286 5418,(07) 3286 2726,,Deputy Speaker and Chairman of Committees,LNP,Cleveland,QLD
Grimwade,D J,Morayfield@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5432 3120,(07) 5432 3183,PO Box 202,MORAYFIELD  QLD  4506,QLD,4506,(07) 5432 3183,(07) 5432 3120,,,LNP,Morayfield,QLD
Byrne,W S,Rockhampton@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4927 5299,(07) 4927 8212,PO Box 729,ROCKHAMPTON  QLD  4700,QLD,4700,(07) 4927 8212,(07) 4927 5299,,"Temporary Chair of Committees, Shadow Minister for Police, Corrective Services and Emergency Services, Construction and Public Works, National Parks",ALP,Rockhampton,QLD
Scott,D C,Woodridge@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 3808 5212,(07) 3283 1073,PO Box 2486,LOGAN CITY DC  QLD  4114,QLD,4114,(07) 3283 1073,(07) 3808 5212,,"Deputy Opposition Whip, Shadow Minister for Disability Services, Community Services, Child Safety, Multicultural Affairs and Women, Mental Health",ALP,Woodridge,QLD
Seeney,J W,Callide@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3224 4600,(07) 4992 3189,PO Box 559,BILOELA  QLD  4715,QLD,4715,(07) 4992 3189,(07) 4992 2475,1800 812 119,"Deputy Premier and Minister for State Development, Infrastructure and Planning",LNP,Callide,QLD
Watts,T J,Toowoomba.North@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4638 5755,(07) 4638 4056,PO Box 155,HARLAXTON  QLD  4350,QLD,4350,(07) 4638 4056,(07) 4638 5755,,,LNP,Toowoomba North,QLD
Simpson,F S,Maroochydore@parliament.qld.gov.au,Hon,Hon,MP,F,(07) 5443 7995,(07) 5443 7242,Suite 1,Cnr First & Memorial Avenues,QLD,4000,(07) 5443 7242,(07) 5443 7995,,"Shadow Minister for Waste Watch, Shadow Minister for Community Services and Housing and Shadow Minister for Women",LNP,Maroochydore,QLD
Hart,M J,Burleigh@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5526 6024,(07) 5526 6135,PO Box 2093,BURLEIGH BC  QLD  4220,QLD,4220,(07) 5526 6135,(07) 5526 6024,,,LNP,Burleigh,QLD
Sorensen,T,Hervey.Bay@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4124 1386,(07) 4124 1443,PO Box 5049,TORQUAY  QLD  4655,QLD,4655,(07) 4124 1443,(07) 4124 1386,1800 811 470,Deputy Whip,LNP,Hervey Bay,QLD
Stewart,M A,Sunnybank@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3219 6974,(07) 3345 7605,Suite 4,309 Mains Road SUNNYBANK QLD 4109,QLD,4109,(07) 3345 7605,(07) 3219 6974,,,ALP,Sunnybank,QLD
Springborg,L J,Southern.Downs@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3234 1191,(07) 4681 2949,PO Box 444,STANTHORPE  QLD  4380,QLD,4380,(07) 4681 2949,(07) 4681 2160,1800 811 827,Minister for Health,LNP,Southern Downs,QLD
Stevens,R A,Mermaid.Beach@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5592 0071,(07) 5592 2301,"Shops 44 and 45, Level 1, Niecon Plaza, 17 Victoria Avenue",BROADBEACH  QLD  4218,QLD,4218,(07) 5592 2301,(07) 5592 0071,,Manager of Government Business,LNP,Mermaid Beach,QLD
Grant,J B,Springwood@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3423 2788,(07) 3423 2922,PO Box 1940,SPRINGWOOD  QLD  4127,QLD,4127,(07) 3423 2922,(07) 3423 2788,,,LNP,Springwood,QLD
Shorten,A,Algester@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3278 9257,(07) 3278 9203,PO Box 854,ARCHERFIELD  QLD  4108,QLD,4115,(07) 3278 9203,(07) 3278 9257,,,LNP,Algester,QLD
Stuckey,J A,Currumbin@parliament.qld.gov.au,Hon,Hon,MP,F,(07) 3224 2004,(07) 5598 1861,PO Box 751,CURRUMBIN  QLD  4223,QLD,4223,(07) 5598 1861,(07) 5598 1387,,"Minister for Tourism, Major Events, Small Business and Commonwealth Games",LNP,Currumbin,QLD
France,L N,Pumicestone@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 3408 6436,(07) 3408 6041,1/43 Benabrow Avenue,BELLARA  QLD  4507,QLD,4507,(07) 3408 6041,(07) 3408 6436,,Assistant Minister for Natural Resources and Mines,LNP,Pumicestone,QLD
D'Ath,Y ,Redcliffe@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 3284 2667,(07) 3283 1073,PO Box 936,REDCLIFFE  QLD  4020,QLD,4020,(07) 3283 1073,(07) 3284 2667,,,ALP,Redcliffe,QLD
Cox,S,Thuringowa@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4773 3116,(07) 4773 5013,PO Box 94,THURINGOWA CENTRAL  QLD  4817,QLD,4817,(07) 4773 5013,(07) 4773 3116,,,LNP,Thuringowa,QLD
Mander,T,Everton@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3855 1133,(07) 3855 1280,PO Box 656,EVERTON PARK QLD 4503,QLD,4503,(07) 3855 1280,(07) 3855 1133,,Assistant Minister for Sport and Racing,LNP,Everton,QLD
Wellington,P W,Nicklin@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5441 6933,(07) 5441 6255,PO Box 265,NAMBOUR  QLD  4560,QLD,4560,(07) 5441 6255,(07) 5441 6933,,,IND,Nicklin,QLD
Gulley,R,Murrumba@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3293 1069,(07) 3293 1257,PO Box 76,DECEPTION BAY  QLD  4508,QLD,4508,(07) 3293 1257,(07) 3293 1069,,,LNP,Murrumba,QLD
Choat,S K,Ipswich.West@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3813 0074,(07) 3813 0076,PO Box 5273,BRASSALL QLD  4305,QLD,4304,(07) 3813 0076,(07) 3813 0074,,,LNP,Ipswich West,QLD
Trout,M J,Barron.River@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4038 2800,(07) 4038 2801,PO Box 1014,SMITHFIELD  QLD  4878,QLD,4878,(07) 4038 2801,(07) 4038 2800,,,LNP,Barron River,QLD
Shuttleworth,D E,Ferny.Grove@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3851 1570,(07) 3851 1261,PO Box 316,FERNY HILLS DC  QLD  4055,QLD,4055,(07) 3851 1261,(07) 3851 1570,,,LNP,Ferny Grove,QLD
Best,B R,brenton.best@parliament.tas.gov.au ,Mr,Mr ,MP,M,(03) 6421 7889,(03) 6421 7888,68 Rooke Street Mall,Devonport,TAS,7310,(03) 6421 7888,(03) 6421 7889,,Parliamentary Secretary to the Premier (North West Economy),ALP,Braddon,TAS
Brooks,A D,adam.brooks@parliament.tas.gov.au ,Mr,Mr,MP,M,(03) 6434 6391,(03) 6434 6221,64 Wilson Street,Burnie,TAS,7320,(03) 6233 2823,(03) 6212 2189,,,LP,Braddon,TAS
Green,B A,bryan.green@parliament.tas.gov.au,Hon,Hon,MP,M,(03) 6434 6252,(03) 6434 6352,80B Wilson Street,Burnie,TAS,7320,(03) 6233 2272,(03) 6233 6454,,"Deputy Premier, Minister for Primary Industries and Water, Minister for Energy and Resources, Minister for Local Government, Minister for Planning, Minister for Racing ",ALP,Braddon,TAS
O'Halloran,P T,paul.ohalloran@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6233 8300,(03) 6223 1406 ,"House of Assembly, Parliament House",Hobart,TAS,7000,(03) 6223 1406 ,(03) 6233 8300,,"Tasmanian Greens Whip, Parliamentary Secretary to the Minister for Education and Skills",Tas Greens,Braddon,TAS
Rockliff,J P,jeremy.rockliff@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6212 2187,(03) 6233 2823,47B Best Street,Devonport,TAS,7310,(03) 6423 5819,(03) 6421 7930,,Deputy Leader of the Opposition,LP,Braddon,TAS
Giddings,L T,lara.giddings@parliament.tas.gov.au,Hon,Hon,MP,F,(03) 6233 3464,(03) 6234 1572,"11th Floor, Executive Building, 15 Murray Street",Hobart,TAS,7000,(03) 6233 3464,(03) 6234 1572,,"Premier, Treasurer, Minister for the Arts",ALP,Franklin,TAS
Hodgman,W E,will.hodgman@parliament.tas.gov.au,Hon,Hon,MP,M,(03) 6212 2191,(03) 6233 2823,Channel Court Shopping Centre,Kingston,TAS,7050,(03) 6229 7950,(03) 6211 8507,,Leader of the Opposition,LP,Franklin,TAS
"McKim,",N J,nick.mckim@parliament.tas.gov.au,Hon,Hon,MP,M,(03) 6233 8300,(03) 6223 1406,"Level 9, Marine Board Building, 1 Franklin Wharf",Hobart,TAS,7000,(03) 6233 2671,(03) 6233 6756,,"Leader of the Tasmanian Greens, Minister for Educations and Skills, Minister for Corrections and Consumer Protection, Minister for Sustainable Transport",Tas Greens ,Franklin,TAS
O'Byrne,D J,david.obyrne@parliament.tas.gov.au,Hon,Hon,MP,M,(03) 6233 8892,(03) 6233 7663,"9th Floor, Executive Building, 15 Murray Street",Hobart,TAS,7000,(03) 6233 7663,(03) 6233 8892,,"Minister for Infrastructure, Minister for Police and Emergency Management, Minister for Econmic Development, Minister for Workplace Relations, Minister for Science, Innovation and Technology",ALP,Franklin,TAS
