"id","last_name","first_name","email","state","parliament_phone","parliament_fax","office_address","office_suburb","office_state","office_postcode","office_fax","office_phone","mailing_address","mailing_suburb","mailing_state","mailing_postcode","party_id","created_at","updated_at","region_id"
"14","Cash","Michaelia","senator.cash@aph.gov.au","WA","(02) 6277 7320",,"44 Outram Street","West Perth","WA","6005","(08) 9226 2211","(08) 9226 2000","PO Box 1966","West Perth","WA","6872","2","2018-03-20 23:53:31","2018-03-20 23:53:31","3"
"15","Duniam","Jonathon","senator.duniam@aph.gov.au","TAS","(02) 6277 3034","(02) 6277 5709","85 Macquarie Street","Hobart","TAS","7001","","(03) 6231 2444","GPO Box 453","Hobart","TAS","7001","2","2018-03-20 23:53:31","2018-03-20 23:53:31","8"
"16","Collins","Jacinta","senator.Collins@aph.gov.au","VIC","(02) 6277 3115","(02) 6277 5708","Ground Floor, 1013 Whitehorse Road","Box Hill","Vic","3128","(03) 9890 7122","(03) 9890 7022","Ground Floor, 1013 Whitehorse Road","Box Hill","Vic","3128","1","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"17","Kitching","Kimberley","senator.kitching@aph.gov.au","VIC","(02) 6277 3294","(02) 6277 5814","Commonwealth Parliamentary Offices, 4 Treasury Place","East Melbourne","VIC","3002",,"(03) 9391 4952","Commonwealth Parliamentary Offices, 4 Treasury Place","East Melbourne","VIC","3002","1","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"18","Cormann","Mathias","senator.cormann@aph.gov.au","WA","(02) 6277 7400","(02) 6273 4110","Level 38, Exchange Plaza, 2 The Esplanade","Perth","WA","6000","(08) 9325 6857","(08) 9325 4227","GPO Box B58","Perth","WA","6838","2","2018-03-20 23:53:31","2018-03-20 23:53:31","3"
"19","Keneally","Kristina","senator.keneally@aph.gov.au","NSW","(02) 6277 3512","(02) 6277 5713","Suite 503, Level 5, 56 Station Street","Parramatta","NSW","2150","(02) 9687 4394","02) 9891 9139","Suite 503, Level 5, 56 Station Street","Parramatta","NSW","2150","1","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"20","Di Natale","Richard","senator.dinatale@aph.gov.au","VIC","(02) 6277 3170","(02) 6277 3185","Level 14, 90 Collins Street","Melbourne","VIC","3000","(03) 5221 5100","(03) 9654 0430","Level 14, 90 Collins Street","Melbourne","VIC","3000","3","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"21","Storer","Tim","senator.storer@aph.gov.au","SA","(02) 6277 3698",,"187 Grenfell Street","Adelaide","SA","5000","(08) 8232 4161","(08) 8282 0220","187 Grenfell Street","Adelaide","SA","5000","7","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"24","O'Neill","Deborah","senator.oneill@aph.gov.au","NSW","(02) 6277 3882","(02) 6277 5880","Suite 3.12, The Platinum Building, 4 Ilya Avenue","Erina","NSW","2250","(02) 4367 3506","(02) 4367 4565","Suite 3.12, The Platinum Building, 4 Ilya Avenue","Erina","NSW","2250","1","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"25","Fawcett","David","senator.fawcett@aph.gov.au","SA","(02) 6277 3418","(02) 6277 5964","Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street","Adelaide","SA","5000","(08) 8205 1045","(08) 8205 1040","Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street","Adelaide","SA","5000","2","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"26","Fierravanti-Wells","Concetta","senator.fierravanti-wells@aph.gov.au","NSW","(02) 6277 7110","(02) 6277 4128","Suite 1, Level 2,, 6-8 Regent Street,","Wollongong","NSW","2500","(02) 4226 1733","(02) 4226 1700","PO Box 886","Wollongong","NSW","2520","2","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"27","Fifield","Mitch","senator.fifield@aph.gov.au","VIC","(02) 6277 7480",,"42 Florence Street","Mentone","VIC","3194",,"(03) 9584 2455","42 Florence Street","Mentone","VIC","3194","2","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"29","Gallacher","Alex","senator.gallacher@aph.gov.au","SA","(02) 6277 3450","(02) 6277 5966","265 Churchill Road","Prospect","SA","5082","(08) 8269 6044","(08) 8269 6022","265 Churchill Road","Prospect","SA","5082","1","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"30","Hanson-Young","Sarah","senator.hanson-young@aph.gov.au","SA","(02) 6277 3430","(02) 6277 5819","Level 7, 147  Pirie Street","Adelaide","SA","5000","(08) 8227 0426","(08) 8227 0425","Level 7, 147  Pirie Street","Adelaide","SA","5000","3","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"31","Burston","Brian","senator.burston@aph.gov.au","NSW","(02) 6277 3197","(02) 6277 5812","Suite 103, Level 1, 43-43a The Boulevarde","Toronto","NSW","2283","(02) 4950 4833","(02) 4959 1044","Suite 103, Level 1, 43-43a The Boulevarde","Toronto","NSW","2283","48","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"33","Pratt","Louise","senator.pratt@aph.gov.au","WA","(02) 6277 3189","(02) 6277 5806","183 Great Eastern Highway","Belmont","WA","6104","(08) 9277 1509","(08) 9277 1502","PO Box 531","Belmont","WA","6984","1","2018-03-20 23:53:31","2018-03-20 23:53:31","3"
"35","Lines","Sue","senator.lines@aph.gov.au","WA","(02) 6277 3804","(02) 6277 5857","51 Ord Street","West Perth","WA","6005","(08) 9481 4244","(08) 9481 4844","PO Box 1322","West Perth","WA","6872","1","2018-03-20 23:53:31","2018-03-20 23:53:31","3"
"36","Steele-John","Jordon","senator.steele-john@aph.gov.au","WA","(02) 6277 3646",,"Level 40 Exchange Tower, 2 the Esplanade","Perth","WA","6000",,"(08) 6245 3310",,"Perth","WA","6838","3","2018-03-20 23:53:31","2018-03-20 23:53:31","3"
"37","Watt","Murray","senator.watt@aph.gov.au","QLD","(02) 6277 3046","(02) 6277 5716","Suite G04 Kay House, 35 Scarborough Street","Southport","QLD","4215",,"(07) 5531 1033","PO Box 310","Southport Business Centre","QLD","4215","1","2018-03-20 23:53:31","2018-03-20 23:53:31","1"
"38","Gallagher","Katy","senator.katy.gallagher@aph.gov.au","ACT","(02) 6277 3405",,"Unit A, Ground Floor, Law Society Building, 11 London Circuit","Canberra","ACT","2601","(02) 6230 0413","02) 6230 0411","Unit A, Ground Floor, Law Society Building, 11 London Circuit","Canberra","ACT","2601","1","2018-03-20 23:53:31","2018-03-20 23:53:31","7"
"39","Macdonald","Ian","senator.macdonald@aph.gov.au","QLD","(02) 6277 3722","(02) 6277 5914","Level 1, 131 Denham Street","Townsville","Qld","4810","(07) 4771 3411","(07) 4771 3066","PO Box 2185","Townsville","Qld","4810","2","2018-03-20 23:53:31","2018-03-20 23:53:31","1"
"40","Hume","Jane","senator.hume@aph.gov.au","VIC","(02) 6277 3123","(02) 6277 5782","223 Bridge Road","Richmond","VIC","3121","( 03) 9232 8839","(03) 9232 8820","PO Box 224","Richmond","VIC","3121","2","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"41","Marshall","Gavin","senator.marshall@aph.gov.au","VIC","(02) 6277 3658","(02) 6277 5822","Level 4, Suite 4.6 Melbourne Commonwealth Parliament Offices, 4 Treasury Place","East Melbourne","Vic","3002","(03) 9348 9837","(03) 9348 9699","Level 4, Suite 4.6 Melbourne Commonwealth Parliament Offices, 4 Treasury Place","East Melbourne","Vic","3002","1","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"42","Anning","Fraser","senator.anning@aph.gov.au","QLD","(02) 6277 3671",,"Suite 2, Level 36, Waterfront Place, 1 Eagle Street","Brisbane","QLD","4000","(07) 3221 9399","(07) 3221 9099","GPO Box 228","Brisbane","QLD","4001","7","2018-03-20 23:53:31","2018-03-20 23:53:31","1"
"43","Farrell","Don","senator.farrell@aph.gov.au","SA","(02) 6277 3053","(02) 6277 5721","Wave Building, Level 5, 19 Gilles Street","Adelaide","SA","5000","(08) 8211 7933","(08)  8231 8400","PO Box 6338","Halifax Street","SA","5000","1","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"44","McKenzie","Bridget","senator.mckenzie@aph.gov.au","VIC","(02) 6277 7495",,"279 Hargreaves Street","Bendigo","VIC","3550","(03) 5441 4260","(03) 5441 4251","279 Hargreaves Street","Bendigo","VIC","3550","4","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"45","Chisholm","Anthony","senator.chisholm@aph.gov.au","QLD","(02) 6277 3103","(02) 6277 5772","Level 35, Waterfront Place, 1 Eagle Street","Brisbane","QLD","4000","(07) 3229 4140","(07) 3229 4477","Level 35, Waterfront Place, 1 Eagle Street","Brisbane","QLD","4000","1","2018-03-20 23:53:31","2018-03-20 23:53:31","1"
"46","McKim","Nick","senator.mckim@aph.gov.au","TAS","(02) 6277 3601","(02) 6277 5797","149B Macquarie Street","Hobart","TAS","7000","(03) 6224 7599","(03) 6224 8899","GPO Box 896","Hobart","TAS","7001","3","2018-03-20 23:53:31","2018-03-20 23:53:31","8"
"47","Moore","Claire","senator.moore@aph.gov.au","QLD","(02) 6277 3447","(02) 6277 3449","Suite 14 B, 1st Floor Brunswick Central, 421 Brunswick Street","Fortitude Valley","Qld","4006","(07) 3252 8957","(07) 3252 7101","PO Box 907, Fortitude Valley Post Shop","Fortitude Valley","Qld","4006","1","2018-03-20 23:53:31","2018-03-20 23:53:31","1"
"48","Molan","Jim","senator.molan@aph.gov.au","NSW","(02) 6277 3695","(02) 6277 5866","The Senate, PO Box 6100 Parliament House","Canberra","ACT","2600","(02) 6277 5866","(02) 6277 3695","The Senate PO Box 6100 ","Canberra","ACT","2600","2","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"50","Colbeck","Richard","senator.colbeck@aph.gov.au","TAS","(02) 6277 3855",,"5-7 Best Street","Devonport","TAS","7310","(03) 6423 5244","(03) 6424 5960","PO Box 603","Devonport","TAS","7310","2","2018-03-20 23:53:31","2018-03-20 23:53:31","8"
"51","Payne","Marise","senator.payne@aph.gov.au","NSW","(02) 6277 7800","(02) 6273 4118","2-12 Macquarie Street","Parramatta","NSW","2150","(02) 9687 8466","(02) 9687 8755","PO Box 1420","Parramatta","NSW","2150","2","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"52","McCarthy","Malarndirri","senator.mccarthy@aph.gov.au","NT","(02) 6277 3094","(02) 6277 5756","38B Mitchell Street","Darwin","NT","800","(08) 8941 0071","(08) 8941 0003","PO Box 1596","Darwin","NT","801","1","2018-03-20 23:53:31","2018-03-20 23:53:31","4"
"53","Polley","Helen","senator.polley@aph.gov.au","TAS","(02) 6277 3129","(02) 6277 5753","'The Charles', Suite 101, 287 Charles Street","Launceston","Tas","7250","(03) 6331 2588","(03) 6331 2599","PO Box 1223","Launceston","Tas","7250","1","2018-03-20 23:53:31","2018-03-20 23:53:31","8"
"55","Rhiannon","Lee","senator.rhiannon@aph.gov.au","NSW","(02) 6277 3496","(02) 6277 5970","72 Campbell Street","Surry Hills","NSW","2010","(02) 9211 3312","(02) 9211 9523","72 Campbell Street","Surry Hills","NSW","2010","3","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"56","Paterson","James","senator.paterson@aph.gov.au","VIC","(02) 6277 3719","(02) 6277 5891","Ground Floor, 63 York Street, 4 Treasury Place","South Melbourne","VIC","3205",,"(03) 9690 2201","PO Box 657","South Melbourne","VIC","3205","2","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"57","Ruston","Anne","senator.ruston@aph.gov.au","SA","(02) 6277 3753","(02) 6277 5825","9 Renmark Avenue","Renmark","SA","5341","(08) 8595 1700","(08) 8586 6600","PO Box 1671","Renmark","SA","5341","2","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"58","Ryan","Scott","senator.ryan@aph.gov.au","VIC","(02) 6277 3300",,"12 Pascoe Vale Road","Moonee Ponds","Vic","3039","(03) 9370 9120","(03) 9326 1088","PO Box 556","Moonee Ponds","Vic","3039","2","2018-03-20 23:53:31","2018-03-20 23:53:31","6"
"59","Scullion","Nigel","senator.scullion@aph.gov.au","NT","(02) 6277 7780","(02) 6273 7096","Unit 1, 229 McMillans Road","Jingili","NT","810","(08) 8948 3544","(08) 8948 3555","PO Box 40021","Casuarina","NT","811","5","2018-03-20 23:53:31","2018-03-20 23:53:31","4"
"60","Seselja","Zed","senator.seselja@aph.gov.au","ACT","(02) 6277 3187","(02) 6277 5712","Shop 1, 25 Earnest Cavanagh Street","Gungahlin","ACT","2912","(02) 6257 4140","(02) 6247 6444","PO Box 705","Gungahlin","ACT","2912","2","2018-03-20 23:53:31","2018-03-20 23:53:31","7"
"61","Siewert","Rachel","senator.siewert@aph.gov.au","WA","(02) 6277 3587","(02) 6277 5762","Unit 11, Level 2, 440 William Street","Perth","WA","6000",,"(08) 9228 3277","Unit 11, Level 2, 440 William Street ","Perth","WA","6000","3","2018-03-20 23:53:31","2018-03-20 23:53:31","3"
"62","Singh","Lisa","senator.singh@aph.gov.au","TAS","(02) 6277 3503","(02) 6277 5974","152 Macquarie Street","Hobart","TAS","7000","(03) 6223 1250","(03) 6223 1135","GPO Box 271","Hobart","TAS","7001","1","2018-03-20 23:53:31","2018-03-20 23:53:31","8"
"63","Sinodinos","Arthur","senator.sinodinos@aph.gov.au","NSW","(02) 6277 3661",,"Suite 3  Level 20, 1 Bligh Street","Sydney","NSW","2000",,"(02) 8289 9450","Suite 3  Level 20, 1 Bligh Street","Sydney","NSW","2000","2","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"64","Smith","Dean","senator.adams@aph.gov.au","WA","(02) 6277 3707","(02) 6277 5792","48 Ventnor Avenue","West Perth","WA","6005","08 9321 4876","(08) 9481 0349","PO Box 930","West Perth","WA","6872","2","2018-03-20 23:53:31","2018-03-20 23:53:31","3"
"66","Sterle","Glenn","senator.sterle@aph.gov.au","WA","(02) 6277 3615","(02) 6277 5765","6a Market City, 280 Bannister Road","Canning Vale","WA","6155","(08) 9455 1421","(08) 9455 1420","Mailpoint 22, Market City, 280 Bannister Road","Canning Vale","WA","6155","1","2018-03-20 23:53:31","2018-03-20 23:53:31","3"
"69","Urquhart","Anne","senator.urquhart@aph.gov.au","TAS","(02) 6277 3434",,"Ground Floor, 69 Best Street","Devonport","Tas","7310","(03) 6423 3544","(03) 6423 1933","PO Box 360","Devonport","Tas","7310","1","2018-03-20 23:53:31","2018-03-20 23:53:31","8"
"70","Bartlett","Andrew","senator.bartlett@aph.gov.au","QLD","(02) 6277 3684",,"Level 2, 251 Given Terrace","Paddington","QLD","4064","(07) 3367 0577","(07) 3367 0566","Locked bag 3004","Paddington","QLD","4064","3","2018-03-20 23:53:31","2018-03-20 23:53:31","1"
"71","Whish-Wilson","Peter","senator.whish-wilson@aph.gov.au","TAS","(02) 6277 3721","(02) 6277 5793","37 George Street","Launceston","TAS","7250","(03) 6331 2044","(03) 6331 0033","PO Box 5194","Launceston","TAS","7250","3","2018-03-20 23:53:31","2018-03-20 23:53:31","8"
"72","Williams","John","senator.williams@aph.gov.au","NSW","(02) 6277 3547","(02) 6277 5830","144 Byron Street","Inverell","NSW","2360","(02) 6721 4544","(02) 6721 4500","144 Byron Street","Inverell","NSW","2360","4","2018-03-20 23:53:31","2018-03-20 23:53:31","2"
"73","Wong","Penny","senator.wong@aph.gov.au","SA","(02) 6277 3874","(02) 6273 5879","Level 4, 19 Gouger Street","Adelaide","SA","5000","(08) 8212 8273","(08) 8212 8272","PO Box 6237, Halifax Street","Adelaide","SA","5000","1","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"74","Griff","Stirling","senator.griff@aph.gov.au","SA","(02) 6277 3128","(02) 6277 5787","Level 3, 27 Leigh Street","Adelaide","SA","5000","(08) 8231 2053","(08) 8212 1409","PO Box 8117","Adelaide","SA","5000","47","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"75","Patrick","Rex","senator.patrick@aph.gov.au","SA","(02) 6277 3785",,"Level 2, 31 Ebenezer Place","Adelaide","SA","5000","(08) 8232 3744","(08) 8232 1144","Level 2, 31 Ebenezer Place","Adelaide","SA","5000","47","2018-03-20 23:53:31","2018-03-20 23:53:31","5"
"76","Pearson","Mark","mark.pearson@parliament.nsw.gov.au","NSW","(02) 9230 2445","(02) 9230 2599","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"51","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"77","Buckingham","Jeremy","jeremy.buckingham@parliament.nsw.gov.au","NSW","(02) 9230 2202","(02) 9230 3341","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"11","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"78","Faruqi","Mehreen","mehreen.faruqi@parliament.nsw.gov.au","NSW","(02) 9230 2625",,"Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"11","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"79","Field","Justin","justin.field@parliament.nsw.gov.au","NSW","(02) 9230 3335","(02) 9230 3322","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"11","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"80","Shoebridge","David","david.shoebridge@parliament.nsw.gov.au","NSW","(02) 9230 3030","(02) 9230 2159","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"11","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"81","Walker","Dawn","dawn.walker@parliament.nsw.gov.au","NSW","(02) 9230 3056","(02) 9230 3093","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"11","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"82","Donnelly","Greg","greg.donnelly@parliament.nsw.gov.au","NSW","(02) 9230 2280","(02) 9230 2585","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"83","Graham","John","john.graham@parliament.nsw.gov.au","NSW","(02) 9230 2430","(02) 9230 2630","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"84","Houssos","Courtney","courtney.houssos@parliament.nsw.gov.au","NSW","(02) 9230 2694","(02) 9230 2677","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"85","Mookhey","Daniel","daniel.mookhey@parliament.nsw.gov.au","NSW","(02) 9230 2736","(02) 9230 2759","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"86","Moselmane","Shaoquett","shaoquett.moselmane@parliament.nsw.gov.au","NSW","(02) 9230 2526","(02) 9230 2722","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"87","Primrose","Peter","peter.primrose@parliament.nsw.gov.au","NSW","(02 9230 2686","(02) 9230 3498","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"88","Searle","Adam","adam.searle@parliament.nsw.gov.au","NSW","(02) 9230 2160","(02) 9230 2522","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"89","Secord","Walter","walt.secord@parliament.nsw.gov.au","NSW","(02) 9230 2111",,"Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"90","Sharpe","Penny","penny.sharpe@parliament.nsw.gov.au","NSW","(02) 9230 2741","(02) 9230 2589","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"91","Veitch","Martin","mick.veitch@parliament.nsw.gov.au","NSW","(02) 9230 2714","(02) 9230 2840","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"92","Voltz","Lynda","lynda.voltz@parliament.nsw.gov.au","NSW","(02) 9230 2970","(02) 9230 3043","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"93","Wong","Ernest","ernest.wong@parliament.nsw.gov.au","NSW","(02) 9230 2822","(02) 9230 3404","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"9","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"94","Green","Paul","paul.green@parliament.nsw.gov.au","NSW","(02) 9230 3484","(02) 9230 2342","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"27","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"95","Nile","Fred","F.Nile@parliament.nsw.gov.au","NSW","(02) 9230 2478","(02) 9230 2098","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"27","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"96","Ajaka","John","john.ajaka@parliament.nsw.gov.au","NSW","(02) 9230 2300","(02) 9230 3077","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"97","Amato","Lou","lou.amato@parliament.nsw.gov.au","NSW","(02) 9230 2764","(02) 9230 2699","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"98","Clarke","David","david.clarke@parliament.nsw.gov.au","NSW","(02) 9230 2260","(02) 9230 3501","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"99","Cusack","Catherine","catherine.cusack@parliament.nsw.gov.au","NSW","(02) 9230 2915","(02) 9230 2385","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"100","Farlow","Scott","scott.farlow@parliament.nsw.gov.au","NSW","(02) 9230 3786","(02) 9230 3796","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"101","Harwin","Don","don.harwin@parliament.nsw.gov.au","NSW","(02) 9230 2080","(02) 9230 2083","52 Martin Place","SYDNEY","NSW","2000","(02) 9339 5568","(02) 8574 7200",,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"102","MacDonald","Scot","scot.macdonald@parliament.nsw.gov.au","NSW","(02) 9230 2393","(02) 9230 2366","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"103","Maclaren-Jones","Natasha","natasha.maclaren-jones@parliament.nsw.gov.au","NSW","(02) 9230 3727","(02) 9230 2698","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"104","Mallard","Shayne","shayne.mallard@parliament.nsw.gov.au","NSW","(02) 9230 2434","(02) 9230 2884","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"105","Martin","Taylor","taylor.martin@parliament.nsw.gov.au","NSW","(02) 9230 2985","(02) 9230 2988","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"106","Mason-Cox","Matthew","matthew.mason-cox@parliament.nsw.gov.au","NSW","(02) 9230 3557","(02) 9230 3597","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"107","Phelps","Peter","peter.phelps@parliament.nsw.gov.au","NSW","(02) 9230 3462","(02) 9230 3568","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"108","Ward","Natalie","natalie.ward@parliament.nsw.gov.au","NSW","(02) 9230 2186","(02) 9230 2175","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"10","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"109","Borsak","Robert","robert.borsak@parliament.nsw.gov.au","NSW","(02) 9230 2850","(02) 9230 2613","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"28","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"110","Brown","Robert","robert.brown@parliament.nsw.gov.au","NSW","(02) 9230 3059","(02) 9230 2613","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"28","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
